booking_code,booking_received_at,booking_pushed_at,latency_interval,latency_in_seconds
GXM2503146-5GK8LZ,2025-03-14T18:04:35.732,2025-03-14T18:05:00.139,0 years 0 mons 0 days 0 hours 0 mins 24.407 secs,24.407000
GXM250314UDBNA-RH,2025-03-14T18:10:55.599,2025-03-14T18:11:00.132,0 years 0 mons 0 days 0 hours 0 mins 4.533 secs,4.533000
NH72032391367234,2025-03-15T12:27:30.093,2025-03-15T12:28:00.163,0 years 0 mons 0 days 0 hours 0 mins 30.07 secs,30.070000
GXM250316DT4SKO1N,2025-03-16T05:56:12.415,2025-03-16T05:57:00.158,0 years 0 mons 0 days 0 hours 0 mins 47.743 secs,47.743000
GXM250316L2VL6X2M,2025-03-16T07:46:51.698,2025-03-16T07:47:00.156,0 years 0 mons 0 days 0 hours 0 mins 8.458 secs,8.458000
GXM250316T_1IUQT0,2025-03-16T08:13:53.903,2025-03-16T08:14:00.125,0 years 0 mons 0 days 0 hours 0 mins 6.222 secs,6.222000
GXM250316HNJVU3K2,2025-03-16T08:13:15.196,2025-03-16T08:14:00.177,0 years 0 mons 0 days 0 hours 0 mins 44.981 secs,44.981000
GXM25031666Y2QQYR,2025-03-16T08:19:42.509,2025-03-16T08:20:00.237,0 years 0 mons 0 days 0 hours 0 mins 17.728 secs,17.728000
GXM250316MLKTLWKJ,2025-03-16T09:21:40.04,2025-03-16T09:22:00.189,0 years 0 mons 0 days 0 hours 0 mins 20.149 secs,20.149000
GXM250316IQ5QIVQU,2025-03-16T12:48:41.169,2025-03-16T12:49:00.135,0 years 0 mons 0 days 0 hours 0 mins 18.966 secs,18.966000
GXM2503162WVLJELA,2025-03-16T16:11:09.776,2025-03-16T16:12:00.132,0 years 0 mons 0 days 0 hours 0 mins 50.356 secs,50.356000
NH16115387842454,2025-02-28T04:54:01.491,2025-03-17T10:57:00.15,0 years 0 mons 17 days 6 hours 2 mins 58.659 secs,1490578.659000
4507573063,2025-02-28T07:31:37.706,2025-03-17T11:00:00.542,0 years 0 mons 17 days 3 hours 28 mins 22.836 secs,1481302.836000
4348966862,2025-02-28T07:35:41.167,2025-03-17T11:00:00.692,0 years 0 mons 17 days 3 hours 24 mins 19.525 secs,1481059.525000
